action,direction,name,rule_hash,status,targets,timestamp
block,out,CenturionCent_Block_GoogleAnalytics,2cbd6044104adff0d5b1653761f561d5c1d56be005b0b43d416bd78d2a9c37c6,added,216.58.0.0/16,2025-12-22T10:04:10.297204
block,out,CenturionCent_Block_GoogleFonts,dfcfe1c845a7ac5067508cc17da68b854719457b93da501a94b6c2a67cfd24aa,added,142.250.0.0/15,2025-12-22T10:04:11.247134
block,out,CenturionCent_Block_Caliente,403b89edd85414070f380284dc92818da56a54df93bd25713ca69b167d5f7cfe,added,"104.18.10.229,104.18.11.229",2025-12-22T10:04:12.209744
block,out,CenturionCent_Block_luckypromo,518075dabf853433d03c951074b5e06e4b24daaddc44a5eab0c570c4398174c4,added,"194.5.78.11,91.195.240.112",2025-12-22T10:04:13.218758
block,out,CenturionCent_Block_wwwsafendsecure,835af076010141ef382fc78b33aaa6cfa17c7f3fda66af5398033b0c8d800bfb,added,"91.195.240.12,103.224.182.9",2025-12-22T10:04:14.174056
block,out,CenturionCent_Block_abovedomains,dfa7c3c8ee8fffcefb38aee9ed23a578f471e8361ff4cfa6fac29e196030d532,added,"103.224.182.9,103.224.212.9,103.224.182.240",2025-12-22T10:04:15.244772
block,out,CenturionCent_Block_roosterreturns,bcd7fe9a0bfe31421012057acdd1e48c1d16f478eb0c2d83b40a86fa2a98406c,added,"2606:4700:3030::6815:3001,2606:4700:3030::6815:4001,2606:4700:3030::6815:5001,104.21.32.1,104.21.48.1,104.21.64.1,104.21.80.1,104.21.96.1,104.21.112.1,104.21.16.1",2025-12-22T10:04:16.371039
block,out,CenturionCent_Block_micklyslot,e335957213d14d1f97ece1b46910e1647d0bdcdf161236b5452adcecb5efee44,added,194.5.78.12,2025-12-22T10:04:17.414401
block,out,CenturionCent_Block_health-crohns-q7myn8,2037ae8faf1ffe1a2b8745335697a9570b33e597c55862d241b71b5a23dedeab,added,"2806:250:42e:be20:7e52:941a:92af:bd34,104.17.157.1,104.17.158.1",2025-12-22T10:04:18.342260
block,out,CenturionCent_Block_betano,6edec9c44cac4792d2ea9b3a71abd8e9c9bb0489f133bd8124bfe163f68e4a79,added,"172.64.144.152,104.18.43.104,2606:4700:4400::ac40:9098,2606:4700:4400::6812:2b68",2025-12-22T10:04:19.241880
block,out,CenturionCent_Block_tsyndicate,36d82863b1d4b7f41f0fccea5417de5a1fc3c38bcb3dbec605181812db5b7634,added,"213.174.157.105,213.174.157.83,213.174.157.82,136.243.51.205,195.46.39.1,136.243.46.15,138.201.49.51,162.55.130.248,94.130.167.170,136.243.149.187",2025-12-22T10:04:20.169388
block,out,CenturionCent_Block_chaturbate,cc6de1ca382affdc3f61275db96a16f49964dadf2ca7ea6fff365fd1a5773e23,added,"142.251.40.174,142.251.32.110,172.217.165.142,142.251.46.174,142.250.65.17,172.217.30.46,172.217.5.14,172.217.0.174,192.178.56.238,142.251.41.78,172.217.168.174,216.239.36.178,216.239.34.178,216.239.38.178,142.250.179.174,216.58.214.174,142.251.36.142,142.250.187.206,142.251.40.238,2607:f8b0:4012:828::200e,2607:f8b0:4009:803::200e,2607:f8b0:4009:819::200e,2800:3f0:4001:83b::200e,2607:f8b0:4005:802::200e,2607:f8b0:4006:808::200e,2607:f8b0:4006:80b::200e,2607:f8b0:4006:81e::200e,2607:f8b0:4006:821::200e",2025-12-22T10:04:21.164467
block,in,CenturionCent_Block_chaturbate2,f78d58333ed5d39bfd1218db074da9c759136ac7111828ff9c7926bd2f7d4e22,added,"142.251.40.174,142.251.32.110,172.217.165.142,142.251.46.174,142.250.65.17,172.217.30.46,172.217.5.14,172.217.0.174,192.178.56.238,142.251.41.78,172.217.168.174,216.239.36.178,216.239.34.178,216.239.38.178,142.250.179.174,216.58.214.174,142.251.36.142,142.250.187.206,142.251.40.238,2607:f8b0:4012:828::200e,2607:f8b0:4009:803::200e,2607:f8b0:4009:819::200e,2800:3f0:4001:83b::200e,2607:f8b0:4005:802::200e,2607:f8b0:4006:808::200e,2607:f8b0:4006:80b::200e,2607:f8b0:4006:81e::200e,2607:f8b0:4006:821::200e",2025-12-22T10:04:22.071419
block,in,CenturionCent_Block_bcgame,e1f870f4d21f7153fc80f23199b526232931494376365c0e90914254cc82043f,added,"104.21.95.92,172.67.144.19,172.64.80.1,188.114.96.0,188.114.97.0,188.114.97.6,188.114.96.6,188.114.96.5,188.114.97.3,188.114.97.5,188.114.96.3,2606:4700:3033::ac43:9013,2606:4700:3037::6815:5f5c,2a06:98c1:3121::,2a06:98c1:3120::,2a06:98c1:3120::2,2a06:98c1:3121::2,2a06:98c1:3120::3,2a06:98c1:3121::3,2a06:98c1:3121::7,2a06:98c1:3120::7",2025-12-22T10:04:22.951217
block,out,CenturionCent_Block_bcgame,f53b7f347908bb4ab16ba1f888489e73efc8dcb7ff5e6ddc5c6cec87ad641521,exists,"104.21.95.92,172.67.144.19,172.64.80.1,188.114.96.0,188.114.97.0,188.114.97.6,188.114.96.6,188.114.96.5,188.114.97.3,188.114.97.5,188.114.96.3,2606:4700:3033::ac43:9013,2606:4700:3037::6815:5f5c,2a06:98c1:3121::,2a06:98c1:3120::,2a06:98c1:3120::2,2a06:98c1:3121::2,2a06:98c1:3120::3,2a06:98c1:3121::3,2a06:98c1:3121::7,2a06:98c1:3120::7",2025-12-22T10:04:23.546089
block,out,CenturionCent_Block_bitmart,bfa04f8bb56660ee802aa38e9fd4c151fc2b425f94976e7fb24f7ffe5387365c,added,"104.18.17.176,104.18.16.176,2606:4700::6812:11b0,2606:4700::6812:10b0",2025-12-22T10:04:24.577818
block,in,CenturionCent_Block_bitmart,72136ed4300805fa81cc05a9b12415444e6ec0a647899f06b635ed98ff5c26d5,exists,"104.18.17.176,104.18.16.176,2606:4700::6812:11b0,2606:4700::6812:10b0",2025-12-22T10:04:25.080582
block,in,CenturionCent_Block_otieu,ed2835cba49689292caeba9568d0a3c3f84140c2b1f95929f162f1267bb9f31a,added,"172.64.146.197,104.18.41.59,2606:4700:4400::ac40:92c5,2606:4700:4400::6812:293b",2025-12-22T10:04:26.149373
block,out,CenturionCent_Block_otieu,a1c3e4ad321063f952db958f9e32d45420491ec1218af2289d84df7f5bdf4e31,exists,"172.64.146.197,104.18.41.59,2606:4700:4400::ac40:92c5,2606:4700:4400::6812:293b",2025-12-22T10:04:26.590866
